182.261794;183.233116;185.383903;187.326548;178.445882;176.156336;178.584643;174.144310;171.091581;167.900091;172.409805;174.560591;170.675299;171.577242;169.426456;155.134134;148.404254;141.674374;144.102681;141.327473;141.119332;147.432931;147.294171;148.265494;151.318222;148.334874;148.612395;144.172061;140.494911;134.597593;130.365401;128.492135;127.937094;124.468083;123.704901;120.444032;118.293245;117.321922;121.415354;117.668823
176.711377;174.491211;178.098981;171.542552;164.986123;163.598519;167.414430;168.108232;166.998149;166.096206;168.593893;167.622570;163.945420;173.589268;173.034226;171.299721;159.713227;149.999999;140.286770;140.633671;143.547640;145.282145;148.057353;147.086030;149.444957;143.755780;145.212765;144.935244;135.222015;136.123958;131.267343;128.283995;127.590193;124.259943;122.247917;121.484735;117.807584;117.183162;117.876964;120.444032
169.912117;168.108232;164.014800;158.533764;165.749305;163.043477;160.337649;156.244217;161.586493;166.512487;158.464384;161.655873;163.320998;167.206289;171.022200;176.156336;163.563829;154.422987;145.282145;141.674374;143.617020;144.518962;145.420905;147.710452;147.987973;144.102681;139.939869;138.552265;134.320072;132.099906;130.226640;130.851062;126.480109;121.831636;123.288620;120.027750;119.125808;116.419980;120.860313;124.814985
165.957446;156.521738;158.256243;151.526363;150.138759;153.122108;153.260868;156.452358;161.794633;156.382977;161.031451;168.732654;165.402404;170.467159;166.928768;160.962071;159.851988;154.509712;149.167436;150.763181;145.004624;146.253468;147.779832;148.196113;144.241442;141.535614;140.841812;137.789083;137.025900;133.279369;128.839036;128.075854;126.827010;124.884365;123.843662;120.929693;119.472709;119.542089;128.145234;129.740979
158.117482;157.284920;154.093431;150.555040;148.057353;149.722478;149.930618;151.734504;154.093431;155.411655;158.533764;162.765956;166.373727;169.287695;162.765956;159.296946;154.787233;159.019425;153.330248;148.889915;148.126733;146.877889;147.779832;145.906567;143.339499;140.009249;136.609619;136.540239;133.695651;131.544864;127.243292;129.116557;127.937094;125.855688;124.398703;124.259943;125.578167;121.415354;129.671599;133.348750
150.901941;151.456983;152.775207;151.248842;153.191488;144.518962;151.734504;149.861238;151.526363;152.913967;154.925993;153.954670;157.284920;164.014800;171.160961;163.806659;161.517113;159.574467;156.174837;146.392228;148.681775;153.052728;148.959296;147.710452;141.535614;139.731728;137.095281;137.858463;135.846437;132.377427;131.475484;126.271969;125.855688;127.312672;126.202589;125.161886;129.810359;126.341349;132.446807;135.777057
150.763181;144.310822;146.322848;143.963921;144.380202;140.356150;141.674374;139.315447;142.506937;145.351525;147.086030;148.057353;152.983347;153.815910;158.845975;163.876039;163.043477;161.308972;153.260868;153.052728;146.739129;147.294171;147.987973;148.959296;149.306197;143.651710;137.997223;134.250692;130.851062;131.891765;132.654948;122.664198;129.185937;128.839036;129.602219;130.296021;137.789083;132.238666;138.135984;139.592968
141.674374;145.490285;144.865864;143.270119;142.715077;139.801109;139.592968;139.939869;139.731728;140.841812;142.992598;142.923218;147.641072;147.918592;155.897316;164.153560;155.064754;149.999999;158.464384;164.222940;156.487048;148.751155;147.363551;145.906567;145.004624;144.935244;138.344124;135.638296;133.695651;129.532838;131.544864;130.365401;121.554115;127.833023;134.111932;134.250692;139.939869;140.217390;141.119332;139.939869
141.674374;144.518962;143.686400;141.882515;142.853838;139.870489;136.470859;136.540239;137.372801;137.234041;141.951895;144.102681;141.258093;145.629046;148.751155;153.399629;150.208139;156.036076;153.122108;155.689175;158.256243;155.272894;155.758556;160.407029;151.630433;142.853838;139.315447;135.152635;135.360776;130.226640;133.348750;133.348750;132.446807;133.903791;134.250692;135.291395;141.743754;143.131358;143.061978;144.657723
141.119332;144.172061;144.033301;141.951895;142.992598;138.760406;137.511562;135.707677;133.765031;136.748380;140.494911;140.980572;137.095281;140.148010;142.645697;144.727103;145.143384;153.052728;155.758556;163.529138;157.076779;157.701201;156.105457;155.030063;153.954670;145.802496;137.650322;137.580942;135.499536;132.793708;132.308047;134.042552;137.234041;139.107307;141.119332;143.061978;144.935244;148.612395;147.363551;146.669749
141.466234;142.645697;142.645697;139.454208;139.662348;137.025900;137.303421;134.320072;132.585567;132.030526;135.568916;137.511562;142.021275;144.241442;135.152635;136.817760;143.651710;150.485660;153.260868;151.248842;161.100831;156.244217;159.158186;163.390378;160.060128;156.729878;149.514337;142.749767;135.985197;136.956520;137.511562;137.025900;140.148010;142.576317;146.253468;149.098056;144.796483;151.248842;152.913967;155.446345
135.013875;137.164661;139.037926;139.315447;138.552265;136.054578;130.642922;133.418130;131.544864;128.630896;126.410729;121.484735;131.302034;141.119332;136.436169;131.753005;136.366788;140.980572;140.078629;147.502311;151.873264;155.064754;160.407029;154.787233;151.526363;157.354300;149.514337;155.758556;153.954670;147.814522;141.674374;143.270119;146.808509;150.555040;154.232191;157.562441;157.493061;159.227566;161.170211;155.897316
127.728953;134.389453;135.222015;136.678999;137.095281;133.973171;130.157260;126.757630;128.075854;133.279369;128.630896;127.659573;130.018500;130.920442;131.336724;127.520812;133.973171;136.401479;137.442182;144.935244;153.885290;146.184087;153.364939;160.545790;157.597131;154.648472;147.155410;149.653098;146.010637;142.368176;143.478259;145.074004;145.212765;151.526363;156.660498;155.342274;159.158186;164.500461;165.124883;158.082792
129.185937;131.475484;131.683625;132.099906;133.765031;131.197963;131.683625;132.377427;128.075854;129.949120;128.214615;127.312672;130.365401;132.654948;132.585567;135.083255;139.107307;133.903791;136.401479;141.466234;139.662348;142.923218;154.336261;160.493754;166.651248;162.627196;164.639222;158.880665;161.794633;165.333024;158.741904;151.179462;146.947270;155.203514;161.031451;163.529138;168.385753;165.818685;168.177612;159.851988
126.549490;126.827010;128.700276;129.671599;129.602219;129.602219;129.879739;129.394078;129.671599;129.740979;129.463458;129.047177;130.087880;136.332098;138.066603;135.638296;135.568916;132.377427;134.528213;136.123958;141.604994;135.915817;143.478259;151.040702;149.895928;148.751155;145.837186;145.074004;145.490285;145.594356;145.698426;147.294171;155.134134;157.770581;165.471784;165.402404;172.132284;173.797409;170.675299;162.037464
122.386677;124.537464;123.982422;126.202589;126.271969;125.855688;126.549490;126.757630;128.492135;130.504161;129.324698;130.296021;137.095281;137.997223;136.887140;138.482885;135.152635;136.817760;135.430156;135.222015;137.164661;142.055965;146.947270;159.019425;164.777982;170.536539;179.764106;176.225716;166.581867;171.577242;166.755318;161.933394;162.974097;162.696576;166.026826;171.230341;174.352450;176.919518;173.658648;163.043477
115.171136;117.530063;119.333948;120.027750;121.137834;125.092505;124.676224;127.937094;130.573541;130.296021;135.291395;134.805734;141.604994;139.315447;145.282145;140.148010;141.535614;137.719702;134.389453;137.580942;133.348750;145.420905;146.045327;146.669749;143.339499;152.532376;161.725253;162.765956;153.954670;163.459758;169.218315;166.165586;165.749305;167.067529;172.826086;175.670674;176.711377;177.752080;177.335799;167.379740
114.061053;115.518037;115.726178;117.946344;119.888990;124.121182;125.716927;128.492135;128.492135;128.839036;135.013875;136.401479;137.858463;145.490285;140.980572;139.107307;142.437556;138.205364;136.332098;142.021275;140.841812;143.547640;152.081405;160.615170;164.327011;168.038852;169.495836;170.952820;163.633209;156.313597;162.419055;163.598519;168.732654;173.866789;175.878815;177.058278;177.335799;178.445882;177.752080;173.866789
114.199813;114.407954;115.448657;116.628120;119.125808;123.566141;127.451432;130.226640;130.989823;133.418130;139.037926;141.535614;139.176687;145.420905;140.772431;139.384827;141.535614;135.291395;141.258093;140.494911;148.057353;153.191488;153.087418;152.983347;162.419055;161.725253;161.031451;162.349675;164.777982;172.409805;180.041627;172.201664;173.311747;183.233116;180.111007;179.833486;179.139684;178.862164;176.572617;174.352450
114.130433;114.130433;115.032376;116.073079;119.750230;123.635521;128.839036;130.712302;132.169286;133.695651;134.875114;136.332098;138.274744;139.523588;147.779832;144.553653;141.327473;140.148010;143.825160;145.629046;146.322848;145.629046;143.963921;152.705827;161.447732;160.823310;158.950045;162.141534;165.333024;173.797409;176.086955;173.519888;174.248380;174.976872;172.479185;181.984273;178.445882;177.474559;176.086955;173.381127
117.738204;117.044402;117.876964;119.958370;123.011099;126.549490;126.757630;130.920442;134.042552;131.614245;131.267343;137.164661;134.944494;139.107307;138.899166;139.107307;144.796483;145.767806;139.801109;142.923218;145.906567;148.404254;152.567066;159.643847;160.823310;168.871414;170.328398;167.761331;162.974097;171.924143;174.907492;168.316373;176.017575;175.878815;182.365864;188.852913;180.874189;176.295096;173.311747;170.605919
121.207214;119.611469;120.582792;121.484735;124.051802;124.259943;127.035151;131.267343;131.753005;132.238666;134.250692;132.724328;132.099906;137.927843;136.332098;143.478259;144.935244;139.454208;139.662348;139.107307;144.588343;146.704439;148.820535;156.591118;161.378352;166.165586;172.409805;172.201664;170.744680;169.287695;168.871414;171.577242;172.617945;170.397779;179.347825;180.319148;179.902867;174.144310;170.536539;168.732654
127.728953;125.925068;125.023125;124.051802;122.733578;126.896391;127.520812;129.116557;130.087880;129.671599;129.463458;130.920442;132.446807;134.875114;139.870489;143.617020;141.396853;137.997223;137.095281;140.494911;146.426918;152.358926;153.330248;161.239592;156.313597;160.753930;173.103607;173.936169;174.768731;172.617945;166.026826;169.703977;168.108232;171.369101;163.806659;166.651248;165.749305;167.483810;171.577242;166.581867
132.932468;128.075854;124.814985;123.149860;125.716927;126.757630;127.104531;127.937094;128.492135;127.937094;128.075854;130.851062;134.042552;134.181312;140.217390;137.789083;136.748380;137.997223;139.246067;140.494911;147.849212;147.641072;148.334874;150.832561;156.591118;166.443107;176.295096;177.405179;174.629971;170.120258;166.234966;167.206289;171.299721;180.111007;172.132284;174.074929;174.907492;174.352450;167.206289;162.627196
